,name,image,price_dollar,price_som,description,views,price_soms
0,Acura MDX,,$ 20 000,,"Продаю либо меняю 
Обмен в обе стороны 
ACURA ( Honda ) MDX 
Рестайлинг 2010год /11 месяц 
4 вд / бензин 
Объем 3.7 автомат 
В самой полной комплектации 
3 ряда сидений 
Пробег оригинал 198-000 км 
Состояние авто идеальное 
Вся в родной краске 
Салон кожа / монитор / камера заднего вида все опции работают 
Авто без вложений 
Обмен в обе стороны 
Цена : 20-000 $ 
Тел 0755 696666",56,1 790 000 сом
1,Acura MDX,,$ 20 500,,"📌 Предлагаем вам приобрести данный или любой другой автомобиль, с чистой историей, оригинальным пробегом и без посредников (перекупов). Мы предоставляем возможность проверить историю автомобиля до его покупки на аукционе.

Работаем с аукционами США (Copart, IAAI, Manheim), так же можем подобрать авто от собственника, наши квалифицированные специалисты проверят всю историю автомобиля, после покупки авто будет доставлено на одну из 4-х наших охраняемых площадок в одном из порту, для последующей погрузки на сухогруз.👍

Минимальные цены. Безопасная доставка!👌

Срок доставки 70 - 90 дней с момента покупки авто из США. Транспортировка осуществляется автовозом до таможенной станции в Бишкеке (все машины в пути застрахованы и отслеживаются GPS) Цена с учетом юридической очистки, таможни и доставки.✅

Тел. 0707 88 44 48 телефон и W\app",1672,1 834 750 сом
2,Acura MDX,,$ 23 300,,"📌 Предлагаем вам приобрести данный или любой другой автомобиль, с чистой историей, оригинальным пробегом и без посредников (перекупов). Мы предоставляем возможность проверить историю автомобиля до его покупки на аукционе.

Работаем с аукционами США (Copart, IAAI, Manheim), так же можем подобрать авто от собственника, наши квалифицированные специалисты проверят всю историю автомобиля, после покупки авто будет доставлено на одну из 4-х наших охраняемых площадок в одном из порту, для последующей погрузки на сухогруз.👍

Минимальные цены. Безопасная доставка!👌

Срок доставки 70 - 90 дней с момента покупки авто из США. Транспортировка осуществляется автовозом до таможенной станции в Бишкеке (все машины в пути застрахованы и отслеживаются GPS) Цена с учетом юридической очистки, таможни и доставки.✅

Тел. 0707 88 44 48 телефон и W\app",2003,2 085 350 сом
3,Acura TL,,$ 7 300,,"Acura TL -мощное и комфортное транспортное средство.
Объем двигателя 3.2 бензин,270 л.с. расход топлива от 9 до 15 литров. Трансмиссия автомат-типтроник 5 ступенчатый ,пробег на данный момент 186000 миль.
Оснащение и дополнительные опции: Хороший звук штатной акустической системы со встроенным сабвуфером(есть блютуз),штатная сигнализация,люк, подогрев передних сидений,ксенон,8 srs,передние электро сидения,памятб вод.сидения,круиз контроль,мульти руль и т.д.
Состояние:
Кузов:Некоторым деталям не помешает косметический ремонт (масштаб дефектов можно оценить на фото)
Салон: трещины на панели(Торпедо) от перегрева на солнце,протертости на водительском сидении.
Техническое состояние:Мотор и АКПП и все  другие системы работают без нареканий , по электронике ошибок нет, кондиционер рабочий.по ходовой есть не критичные моменты устранение которых обойдется не большими средствами.
Цена с учётом всех недостатков 7300 $,предусмотрен не большой Торг. Возможен обмен на универсал,минивэн или кроссовер с доплатой в обе стороны и без.",2559,653 350 сом
4,Acura MDX,,$ 9 100,,"Продаю свою машину, сам хозяин пригонял 13 лет назад, машина не битая все в родной краске, все стекла родные, салон живой,все работает как надо. Катализаторы на месте , двигатель и коробка работают в идеале Эксплуатировалась очень бережно и аккуратно. Масло менялось регулярно вообщем очень хорошее состояние. Проблем с машиной ни каких нет.  Только продажа.",1453,814 450 сом
5,Acura TSX,,$ 11 500,,Описание отсутствует,338,1 029 250 сом
6,Acura MDX,,$ 10 000,,продаю или обмен на недвижимость,30,895 000 сом
7,Acura MDX,,$ 22 000,,"Продаю либо меняю 
Обмен в обе стороны 
ACURA ( Honda ) MDX 
Рестайлинг 2010год /11 месяц 
4 вд / бензин 
Объем 3.7 автомат 
В самой полной комплектации 
3 ряда сидений 
Пробег оригинал 197-000 км 
Состояние авто идеальное 
Вся в родной краске 
Салон кожа / монитор / камера заднего вида все опции работают 
Авто без вложений 
Обмен в обе стороны 
Цена : 22-000 $$$$ 
Тел 0552363872",316,1 969 000 сом
8,Acura MDX,,$ 22 000,,"Продаю либо меняю 
Обмен в обе стороны 
ACURA ( Honda ) MDX 
Рестайлинг 2010год /11 месяц 
4 вд / бензин 
Объем 3.7 автомат 
В самой полной комплектации 
3 ряда сидений 
Пробег оригинал 198-000 км 
Состояние авто идеальное 
Вся в родной краске 
Салон кожа / монитор / камера заднего вида все опции работают 
Авто без вложений 
Обмен в обе стороны 
Цена : 22-000 $ 
 507-335-341 воцап!!!",36,1 969 000 сом
9,Acura MDX,,$ 5 500,,Описание отсутствует,142,492 250 сом
10,Acura MDX,,$ 7 500,,машина в очень хорошем состоянии. газ -бензин. очень экономичный. три ряда сидений. салон кожа. за подробной информации о машине обращайтесь по телефону 0703362097,440,671 250 сом
11,Acura MDX,,$ 7 800,,газ-бензин,462,698 100 сом
12,Acura MDX,,$ 11 000,,Описание отсутствует,344,984 500 сом
13,Acura RDX,,$ 23 000,,"Срочно продается!
Полные характеристики можно посмотреть по ссылке - https://www.drom.ru/catalog/acura/rdx/193192/ 
- Start-stop
- Большой монитор
- Двух зонный климат контроль
- Подогрев и обдув сидений
- Мульти руль
- Люк
- Система предотвращения столкновений
- Дистроник (адаптивный круиз контроль)
- LKAS (контроль движения в полосе)
- Датчики дождя и света
- Парктроники
- Контроль слепой зоны
- Диски R18 на летней жирной резине Yokohama",1997,2 058 500 сом
14,Acura TLX,,$ 18 000,,"✅ ACURA TLX
✅ 2016 год
✅ Объём 2.4 л мощность 208 л.с.
✅ КПП автомат 
✅ Пробег 81250 miles
✅ Штрафов каких либо ограничений нет
✅ Расход 8 литров 
✅ Комплектация TLX Technology Package все за исключением подогревов сидений 
✅ Передний привод 
✅ состояние 10/10 исключительное 🔥 🔥 🔥 
✅ Цена 18500$ варианты обмена
✅ Тел: 0554 207 702",305,1 611 000 сом
15,Acura TL,,$ 6 800,,Описание отсутствует,694,608 600 сом
16,Acura RDX,,$ 12 500,,Описание отсутствует,8328,1 118 750 сом
17,Acura MDX,,$ 13 500,,Описание отсутствует,914,1 208 250 сом
18,Acura MDX,,$ 6 000,,Описание отсутствует,913,537 000 сом
19,Acura TSX,,$ 8 799,,Описание отсутствует,517,787 511 сом
20,Acura MDX,,$ 11 000,,Продаю не тороплюсь. Авто для любителей Акура МДХ.,902,984 500 сом
